,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
707,Uthiru/Ruthi,"""42","600""",72,1
708,Kawangware,"""44","200""",93,1
709,Kware,"""42","800""",117,0
710,Baba Dogo,"""38","918""",113,1
711,Parklands/Highridge,"""18","000""",41,0
712,Ngei,"""12","000""",45,0
713,Utalii,"""52","500""",95,1
714,Thika,"""42","600""",60,0
715,California,"""13","000""",97,0
716,Mountain View,"""42","200""",47,1
717,Nairobi South,"""44","000""",65,1
718,Utawala,"""24","000""",58,0
719,Kiamaiko,"""45","400""",88,1
720,Kasarani,"""46","200""",82,0
721,Kware,"""45","400""",85,1
722,Njiru,"""13","000""",107,1
723,Utawala,"""42","400""",76,1
724,Clay City,"""231","700""",65,0
725,Kileleshwa,"""48","100""",82,0
726,Embakasi South,"""41","500""",106,1
727,Kahawa West,"""16","000""",50,1
728,Kware,"""18","000""",104,1
729,Kahawa,"""45","200""",110,1
730,Embakasi South,"""42","500""",98,0
731,Komarock,"""46","600""",83,1
732,Woodley /Kenyatta Golf Course,"""44","400""",95,0
733,Viwandani,"""42","600""",53,0
734,Kahawa West,"""46","174""",104,1
735,Upper Savannah,"""27","000""",51,0
736,Kileleshwa,"""15","000""",57,0
737,Mugumu-Ini,"""24","000""",48,0
738,Mutu-ini,"""46","600""",90,0
739,Karen,"""51","890""",59,1
740,Gatina,"""11","000""",53,0
741,Woodley /Kenyatta Golf Course,"""51","890""",83,0
742,Roysambu,"""43","800""",122,1
743,Kibera,"""48","100""",69,0
744,Lindi Makina,"""43","400""",86,1
745,Roysambu,"""42","400""",175,0
746,Mihango,"""17","000""",79,0
747,Starehe,"""10","000""",62,1
748,Mihango,"""19","000""",52,1
749,Mugumu-Ini,"""63","000""",81,0
750,Woodley /Kenyatta Golf Course,"""41","600""",45,0
751,Korogocho,"""42","400""",67,0
752,Woodley /Kenyatta Golf Course,"""42","600""",87,1
753,Kabiro,"""42","400""",37,0
754,Kwa Njenga,"""45","600""",66,0
755,Korogocho,"""44","400""",27,0
756,Lindi Makina,"""11","000""",46,0
757,Kasarani,"""17","000""",111,1
758,Starehe,"""42","400""",66,1
759,Korogocho,"""44","800""",71,1
760,Mowlem,"""20","000""",52,0
761,California,"""42","500""",58,0
762,Baba Dogo,"""46","600""",65,0
763,Kamukunji,"""24","000""",38,0
764,California,"""43","000""",40,0
765,Karen,"""43","600""",115,1
766,Kasarani,"""42","400""",81,1
767,Viwandani,"""17","000""",63,1
768,Dandora Area III,"""65","574""",78,1
769,Woodley /Kenyatta Golf Course,"""109","890""",116,1
770,Gatina,"""42","400""",78,0
771,Ruiru,"""36","037""",53,1
772,Kahawa,"""42","972""",73,1
773,Dandora Area IV,"""42","000""",70,0
774,Lower Savannah,"""44","000""",60,1
775,Hospital,"""43","200""",77,1
776,Kawangware,"""20","000""",57,1
777,Kwa Ruben,"""42","600""",61,1
778,Nairobi Central,"""26","000""",71,0
779,Ziwani/Kariokor,"""16","000""",104,1
780,California,"""40","500""",92,1
781,Ruiru,"""19","000""",68,0
782,Dandora Area III,"""45","600""",70,0
783,Harambee,"""48","100""",41,0
784,Ruai,"""42","400""",70,1
785,Umoja II,"""45","600""",39,0
786,Laini saba,"""42","972""",38,0
787,Mutu-ini,"""24","000""",45,0
788,Matopeni/Spring Valley,"""44","200""",46,1
789,Ngei,"""42","000""",105,1
790,Riruta,"""42","000""",54,0
791,Nairobi South,"""42","200""",58,0
792,Dandora Area III,"""48","100""",117,1
793,Kilimani,"""42","600""",112,1
794,Mabatini,"""48","100""",75,1
795,Airbase,"""90","017""",44,0
796,Dandora Area III,"""21","000""",78,1
797,Kitisuru,"""12","000""",96,0
798,Kibera,"""43","200""",58,1
799,Mihango,"""41","900""",50,1
800,Mountain View,"""14","000""",92,0
801,Mathare North,"""42","500""",82,0
802,Harambee,"""21","000""",58,0
803,Kitisuru,"""29","000""",92,1
804,Kileleshwa,"""26","000""",48,1
805,Eastleigh North,"""123","000""",88,1
806,Starehe,"""20","000""",78,0
807,Upper Savannah,"""48","100""",88,1
808,Umoja I,"""50","800""",52,1
809,Riruta,"""41","500""",60,0
810,Kayole North,"""45","800""",107,1
811,Ngara,"""15","000""",100,0
812,Umoja II,"""11","000""",46,0
813,Kawangware,"""18","000""",121,1
814,Roysambu,"""42","200""",98,1
815,Kamukunji,"""20","000""",56,0
816,Zimmerman,"""44","800""",72,1
817,Lower Savannah,"""41","900""",101,1
818,Lower Savannah,"""18","000""",89,1
819,Kware,"""65","574""",84,1
820,Parklands/Highridge,"""42","972""",98,0
821,Komarock,"""52","500""",34,0
822,Nairobi Central,"""14","000""",50,1
823,Nairobi West,"""43","400""",107,0
824,Karen,"""44","600""",57,1
825,Kwa Njenga,"""45","000""",72,1
826,Hospital,"""55","500""",56,1
827,Woodley /Kenyatta Golf Course,"""14","000""",67,0
828,Airbase,"""26","000""",42,0
829,Ruiru,"""44","000""",65,0
830,Kariobangi South,"""42","500""",69,1
831,Kahawa,"""14","000""",108,1
832,Waithaka,"""48","997""",48,0
833,Kayole South,"""45","800""",84,1
834,Huruma,"""109","890""",87,1
835,Kibera,"""45","800""",62,0
836,Pipeline,"""42","600""",63,0
837,Nairobi South,"""12","000""",55,0
838,Harambee,"""45","000""",71,1
839,Korogocho,"""46","200""",55,1
840,Kabiro,"""109","890""",93,1
841,Athi River,"""21","000""",40,0
842,Kayole Central,"""55","500""",75,1
843,Mountain View,"""45","400""",110,1
844,Kwa Njenga,"""46","000""",57,1
845,Dandora Area III,"""19","000""",87,1
846,Ruiru,"""52","600""",67,0
847,Sarangombe,"""42","500""",106,1
848,Kahawa,"""46","174""",104,0
849,Kware,"""50","800""",62,1
850,Pipeline,"""42","200""",80,0
851,Umoja I,"""77","378""",92,1
852,Kware,"""44","800""",95,0
853,Mlango Kubwa,"""12","000""",69,0
854,Embakasi,"""44","400""",73,1
855,Makongeni,"""23","000""",64,0
856,Imara Daima,"""45","400""",39,0
857,Kayole Central,"""42","600""",77,1
858,Kariobangi South,"""48","997""",100,1
859,Mountain View,"""20","000""",61,0
860,Airbase,"""52","500""",82,1
861,Eastleigh South,"""39","377""",47,0
862,Sarangombe,"""42","300""",40,1
863,Upper Savannah,"""55","500""",36,0
864,Ziwani/Kariokor,"""48","997""",49,0
865,Kahawa,"""62","600""",61,1
866,Baba Dogo,"""27","000""",64,0
867,Kayole Central,"""48","000""",49,1
868,Kayole South,"""17","000""",91,1
869,Eastleigh North,"""46","800""",51,0
870,Dandora Area III,"""45","000""",86,0
871,Embakasi South,"""23","000""",40,0
872,Uthiru/Ruthi,"""23","000""",64,1
873,Lower Savannah,"""43","000""",91,1
874,Kiamaiko,"""17","000""",56,1
875,Mwiki,"""46","200""",97,1
876,Umoja II,"""44","600""",65,1
877,Umoja II,"""10","000""",53,1
878,Viwandani,"""42","800""",50,0
879,Landimawe,"""24","000""",53,1
880,Kwa Njenga,"""42","800""",61,0
881,Athi River,"""62","600""",48,0
882,Ruai,"""39","377""",84,1
883,Harambee,"""42","400""",57,0
884,Kariobangi South,"""44","200""",49,0
885,Matopeni/Spring Valley,"""17","000""",47,0
886,Embakasi North,"""14","000""",35,1
887,Kariobangi North,"""46","600""",65,1
888,Roysambu,"""42","400""",88,1
889,Lucky Summer,"""12","000""",110,1
890,Pipeline,"""46","200""",92,0
891,Githurai,"""42","972""",70,0
892,Embakasi Central,"""55","500""",56,1
893,Mathare North,"""24","000""",50,0
894,California,"""44","200""",86,0
895,Dandora Area I,"""52","600""",52,1
896,Ngara,"""19","000""",66,0
897,Sarangombe,"""52","500""",60,0
898,Lucky Summer,"""123","000""",90,1
899,Lindi Makina,"""12","000""",98,0
900,Landimawe,"""12","000""",105,0
901,Airbase,"""19","000""",82,0
902,Clay City,"""42","000""",70,0
903,Kawangware,"""82","972""",103,1
904,Dandora Area IV,"""44","200""",61,0
905,Thika,"""109","890""",50,0
906,Umoja I,"""62","600""",57,1
907,Lower Savannah,"""17","000""",42,0
908,Thika,"""41","600""",98,1
909,Utawala,"""14","000""",96,0
910,Kahawa,"""20","000""",64,1
911,Ruai,"""19","000""",43,0
912,Kayole South,"""22","000""",84,0
913,Roysambu,"""36","037""",89,0
914,Kawangware,"""42","000""",80,1
915,Syokimau,"""27","000""",36,0
916,Upper Savannah,"""27","000""",66,1
917,Uthiru/Ruthi,"""41","500""",113,1
918,Makongeni,"""65","574""",35,1
919,Kibera,"""26","000""",97,0
920,Njiru,"""19","000""",57,0
921,Utalii,"""44","600""",106,1
922,Mlango Kubwa,"""46","200""",49,0
923,Nairobi South,"""90","017""",48,1
924,Kahawa West,"""52","500""",44,0
925,Dandora Area II,"""42","400""",57,1
926,Mowlem,"""17","000""",47,0
927,Airbase,"""46","174""",85,0
928,California,"""46","174""",73,0
929,Dandora Area III,"""41","800""",117,1
930,Viwandani,"""38","918""",71,0
931,Karen,"""21","000""",49,0
932,Ziwani/Kariokor,"""9","000""",101,1
933,Ngando,"""123","000""",64,1
934,Kayole North,"""43","000""",95,1
935,Kware,"""42","800""",45,0
936,Mugumu-Ini,"""43","600""",99,1
937,Mowlem,"""18","000""",57,0
938,Laini saba,"""42","400""",107,1
939,Eastleigh South,"""41","500""",55,0
940,Kware,"""25","000""",60,1
941,Embakasi East,"""12","000""",106,1
942,Pumwani,"""77","378""",59,0
943,California,"""42","800""",71,0
944,Kwa Ruben,"""42","000""",103,1
945,Kwa Ruben,"""45","000""",76,0
946,Mutu-ini,"""23","000""",93,1
947,Umoja II,"""45","000""",93,0
948,Woodley /Kenyatta Golf Course,"""44","000""",46,0
949,Kitengela,"""42","800""",50,0
950,Mathare North,"""44","200""",57,0
951,Starehe,"""46","174""",40,0
952,Mugumu-Ini,"""42","400""",73,1
953,Lower Savannah,"""43","000""",99,0
954,Kabiro,"""46","200""",79,1
955,Korogocho,"""43","600""",56,0
956,Roysambu,"""13","000""",104,1
957,Syokimau,"""19","000""",48,0
958,Kilimani,"""17","000""",59,0
959,Thika,"""14","000""",86,1
960,Umoja I,"""43","200""",71,0
961,Nairobi South,"""14","000""",89,0
962,Baba Dogo,"""24","000""",55,1
963,Nairobi Central,"""38","918""",52,0
964,Eastleigh South,"""17","000""",124,1
965,Eastleigh North,"""231","700""",72,1
966,Kabiro,"""36","037""",75,1
967,Mowlem,"""22","000""",92,1
968,Embakasi,"""48","000""",90,1
969,Mugumu-Ini,"""24","000""",53,1
970,Kahawa,"""123","000""",59,0
971,Waithaka,"""12","000""",39,0
972,Githurai,"""41","600""",69,0
973,Kitisuru,"""41","900""",103,1
974,Kwa Ruben,"""12","000""",75,1
975,Komarock,"""41","500""",47,0
976,Starehe,"""42","400""",49,0
977,Makadara,"""42","400""",73,1
978,Viwandani,"""48","100""",99,0
979,Kileleshwa,"""40","500""",55,0
980,Nyayo Highrise,"""82","972""",88,1
981,Kahawa West,"""22","000""",81,1
982,Eastleigh North,"""44","400""",72,0
983,Kayole Central,"""62","583""",98,1
984,Mathare North,"""12","000""",74,0
985,Korogocho,"""20","000""",52,0
986,Pipeline,"""46","800""",78,1
987,Roysambu,"""12","000""",99,0
988,Ruai,"""45","600""",66,0
989,Laini saba,"""21","000""",49,0
990,Nairobi Central,"""42","600""",105,0
991,Nyayo Highrise,"""90","017""",90,1
992,Ngara,"""52","500""",72,0
993,Kitisuru,"""231","700""",96,0
994,Nyayo Highrise,"""24","000""",50,1
995,Ngara,"""20","000""",106,1
996,Utalii,"""42","800""",65,0
997,Karura,"""12","000""",47,0
998,Embakasi,"""42","500""",43,0
999,Baba Dogo,"""11","000""",51,1
1000,Karura,"""40","500""",97,1
1001,Makongeni,"""44","400""",77,0
1002,Mugumu-Ini,"""45","200""",62,1
1003,Pumwani,"""9","000""",52,0
1004,Kahawa West,"""50","800""",94,0
1005,Parklands/Highridge,"""17","000""",73,0
1006,Harambee,"""42","400""",73,1
1007,Embakasi North,"""48","997""",82,1
1008,Kahawa,"""44","600""",46,1
1009,Mugumu-Ini,"""45","600""",81,0
1010,Mountain View,"""40","500""",65,0
1011,Ngando,"""48","000""",81,1
1012,Mathare South,"""11","000""",114,1
1013,Karura,"""16","000""",50,0
1014,Kwa Ruben,"""36","037""",61,0
1015,California,"""43","800""",45,0
1016,Waithaka,"""42","600""",33,0
1017,Hospital,"""43","400""",76,1
1018,Kawangware,"""11","000""",57,1
1019,Nyayo Highrise,"""36","037""",100,1
1020,Ngei,"""11","000""",81,0
1021,Dandora Area I,"""22","000""",94,1
1022,Airbase,"""48","000""",115,1
1023,Huruma,"""42","500""",107,0
1024,Pipeline,"""36","037""",105,0
1025,Ruai,"""14","000""",91,0
1026,Zimmerman,"""19","000""",52,0
1027,Ziwani/Kariokor,"""11","000""",48,0
1028,Nyayo Highrise,"""13","000""",55,0
1029,Umoja I,"""43","000""",58,0
1030,Kariobangi North,"""9","000""",73,0
1031,Ziwani/Kariokor,"""42","800""",96,1
1032,Ngando,"""22","000""",83,1
1033,Athi River,"""109","890""",112,1
1034,Kabiro,"""16","000""",106,1
1035,Karen,"""36","037""",56,1
1036,Kamukunji,"""42","972""",106,1
1037,Ngando,"""123","000""",98,1
1038,Njiru,"""48","100""",91,1
1039,Pumwani,"""65","574""",53,0
1040,Pipeline,"""45","600""",87,1
1041,Kware,"""46","800""",70,0
1042,Karura,"""15","000""",86,0
1043,Kariobangi North,"""14","000""",44,0
1044,Pipeline,"""29","000""",46,1
1045,Lower Savannah,"""12","000""",89,1
1046,Dandora Area II,"""42","400""",115,1
1047,Riruta,"""16","000""",46,0
1048,Matopeni/Spring Valley,"""109","890""",103,1
1049,Pipeline,"""62","600""",102,1
1050,Kileleshwa,"""43","800""",96,0
1051,Mabatini,"""45","000""",87,0
1052,Embakasi South,"""10","000""",49,0
1053,Komarock,"""27","000""",100,1
1054,Ngando,"""82","972""",69,1
1055,Dandora Area IV,"""44","600""",82,0
1056,Syokimau,"""22","000""",43,1
1057,Harambee,"""36","037""",29,0
1058,Ngando,"""44","918""",65,1
1059,Huruma,"""36","037""",90,0
1060,Kawangware,"""43","200""",60,1
1061,Kware,"""45","400""",73,1
1062,Mugumu-Ini,"""21","000""",95,1
1063,Dandora Area IV,"""29","000""",92,1
1064,Ngei,"""48","000""",83,0
1065,Kabiro,"""55","500""",75,0
1066,Kahawa West,"""44","600""",117,1
1067,Ngei,"""44","800""",41,0
1068,Thika,"""43","800""",88,1
1069,Syokimau,"""109","890""",39,0
1070,Embakasi North,"""19","000""",32,0
1071,Mugumu-Ini,"""43","600""",61,0
1072,Karen,"""24","000""",91,1
1073,Gatina,"""45","000""",87,1
1074,Embakasi Central,"""46","600""",42,0
1075,Mugumu-Ini,"""16","000""",59,1
1076,Starehe,"""52","600""",99,0
1077,Sarangombe,"""43","400""",59,1
1078,Kiamaiko,"""19","000""",72,1
1079,Korogocho,"""42","800""",75,0
1080,Kwa Njenga,"""24","000""",95,0
1081,Eastleigh North,"""46","000""",49,0
1082,Nairobi West,"""40","500""",68,1
1083,Kilimani,"""9","000""",42,0
1084,Mabatini,"""16","000""",102,1
1085,Korogocho,"""43","400""",55,1
1086,Kwa Njenga,"""14","000""",98,1
1087,Kayole North,"""46","800""",68,0
1088,Umoja I,"""45","000""",57,0
1089,Kabiro,"""52","500""",86,0
1090,Dandora Area IV,"""55","500""",108,0
1091,Nyayo Highrise,"""45","000""",52,0
1092,Roysambu,"""46","600""",110,1
1093,Dandora Area II,"""42","000""",93,0
1094,Kabiro,"""46","800""",95,0
1095,Komarock,"""45","400""",117,1
1096,Kamukunji,"""48","997""",88,0
1097,Gatina,"""42","600""",84,1
1098,Kariobangi North,"""16","000""",115,0
1099,Kitisuru,"""44","400""",90,0
1100,Upper Savannah,"""52","600""",55,0
1101,Kware,"""109","890""",76,1
1102,Hospital,"""45","800""",108,1
1103,Karen,"""11","000""",57,0
1104,Kayole Central,"""44","918""",54,1
1105,Karen,"""77","378""",109,1
1106,Makadara,"""16","000""",59,0
1107,Huruma,"""82","972""",107,0
1108,Njiru,"""51","890""",81,0
1109,Kibera,"""17","000""",51,1
1110,Waithaka,"""21","000""",84,1
1111,Nyayo Highrise,"""42","600""",79,0
1112,Kilimani,"""17","000""",66,1
1113,Riruta,"""42","200""",61,1
1114,Mlango Kubwa,"""42","300""",41,0
1115,Makongeni,"""45","600""",58,0
1116,Korogocho,"""9","000""",100,0
1117,Huruma,"""42","800""",100,0
1118,Mathare South,"""12","000""",44,0
1119,Karen,"""50","800""",73,0
1120,Laini saba,"""52","500""",60,0
1121,Maringo/Hamza,"""44","400""",73,0
1122,Lucky Summer,"""42","400""",95,0
1123,Njiru,"""12","000""",76,1
1124,Komarock,"""41","500""",77,1
1125,Komarock,"""13","000""",59,0
1126,Nyayo Highrise,"""10","000""",94,1
1127,Kwa Ruben,"""62","600""",66,1
1128,Pipeline,"""22","000""",99,0
1129,Lower Savannah,"""41","500""",42,0
1130,California,"""18","000""",50,1
1131,Kwa Njenga,"""44","600""",104,0
1132,Utawala,"""38","918""",94,0
1133,Ngei,"""46","800""",86,1
1134,Sarangombe,"""16","000""",91,1
1135,Kayole South,"""13","000""",63,1
1136,Njiru,"""26","000""",43,0
1137,Kibera,"""12","000""",91,0
1138,Dandora Area IV,"""16","000""",53,0
1139,Karen,"""19","000""",48,0
1140,Kariobangi North,"""46","400""",79,0
1141,Kawangware,"""14","000""",106,1
1142,Makadara,"""43","600""",44,0
1143,Karura,"""43","200""",106,0
1144,Ziwani/Kariokor,"""51","890""",66,0
1145,Riruta,"""45","400""",44,0
1146,Kamukunji,"""9","000""",55,1
1147,South C,"""63","000""",109,1
1148,California,"""36","037""",91,0
1149,Ruai,"""42","500""",92,1
1150,Nairobi Central,"""43","800""",98,1
1151,Landimawe,"""19","000""",45,0
1152,Korogocho,"""26","000""",43,0
1153,Utalii,"""19","000""",89,0
1154,Embakasi,"""90","017""",116,0
1155,Nairobi Central,"""12","000""",91,0
1156,South C,"""45","200""",36,0
1157,Kwa Ruben,"""43","400""",38,0
1158,Kawangware,"""90","017""",55,0
1159,Kayole Central,"""42","800""",127,1
1160,Ngara,"""42","500""",59,0
1161,Kware,"""43","800""",71,1
1162,Eastleigh North,"""45","400""",49,0
1163,Kasarani,"""46","200""",96,1
1164,Mlango Kubwa,"""62","600""",94,0
1165,Kangemi,"""43","800""",58,0
1166,Zimmerman,"""42","600""",55,1
1167,Kawangware,"""41","800""",87,1
1168,Huruma,"""41","500""",36,0
1169,Kangemi,"""123","000""",36,1
1170,Dandora Area II,"""46","200""",63,1
1171,Westlands,"""42","400""",49,0
1172,Lindi Makina,"""45","000""",97,0
1173,Embakasi North,"""43","000""",43,1
1174,Mountain View,"""46","000""",90,1
1175,Baba Dogo,"""11","000""",97,0
1176,Kitengela,"""42","600""",66,0
1177,Embakasi North,"""9","000""",40,0
1178,Makadara,"""17","000""",88,1
1179,Ruiru,"""41","700""",61,1
1180,Sarangombe,"""41","500""",67,1
1181,Komarock,"""45","600""",59,0
1182,Lucky Summer,"""10","000""",50,0
1183,Kariobangi North,"""62","600""",103,1
1184,Waithaka,"""26","000""",103,1
1185,Woodley /Kenyatta Golf Course,"""17","000""",92,1
1186,Airbase,"""63","000""",54,1
1187,Sarangombe,"""48","100""",97,1
1188,Upper Savannah,"""36","037""",79,1
1189,Upper Savannah,"""10","000""",61,1
1190,Airbase,"""27","000""",101,0
1191,Ngei,"""21","000""",91,1
1192,Laini saba,"""21","000""",37,0
1193,Kileleshwa,"""42","500""",30,0
1194,Roysambu,"""52","500""",84,0
1195,Korogocho,"""20","000""",50,0
1196,Embakasi North,"""52","500""",79,0
1197,Kware,"""82","972""",68,0
1198,Sarangombe,"""42","400""",105,1
1199,Embakasi,"""36","037""",66,0
1200,Ruiru,"""10","000""",35,0
1201,Kariobangi North,"""23","000""",55,1
1202,Ruai,"""45","000""",41,1
1203,Clay City,"""45","600""",117,0
1204,Airbase,"""44","000""",61,1
1205,Mountain View,"""65","574""",81,0
1206,Athi River,"""40","500""",53,1
1207,Kayole Central,"""22","000""",110,1
1208,Dandora Area IV,"""109","890""",91,1
1209,Pipeline,"""43","800""",41,0
1210,Ruiru,"""25","000""",110,0
1211,Makadara,"""62","583""",80,1
1212,Mabatini,"""18","000""",63,0
1213,Mwiki,"""48","100""",106,1
1214,Sarangombe,"""45","600""",48,1
1215,Kawangware,"""46","800""",53,0
1216,Umoja II,"""44","000""",38,0
1217,Ngara,"""46","400""",83,1
1218,Kayole North,"""46","000""",109,1
1219,Kwa Ruben,"""14","000""",102,1
1220,Kware,"""15","000""",105,0
1221,Dandora Area IV,"""27","000""",114,1
1222,Utalii,"""29","000""",69,0
1223,Dandora Area II,"""46","174""",99,0
1224,Ngando,"""42","972""",43,0
1225,Sarangombe,"""22","000""",106,1
1226,Laini saba,"""48","000""",77,1
1227,Pangani,"""18","000""",100,1
1228,Syokimau,"""14","000""",85,1
1229,Kangemi,"""10","000""",48,1
1230,Kahawa West,"""44","000""",108,1
1231,Baba Dogo,"""44","000""",55,1
1232,Utawala,"""42","500""",52,0
1233,Westlands,"""41","700""",63,0
1234,Kayole South,"""41","600""",95,0
1235,Mowlem,"""44","918""",67,1
1236,Riruta,"""41","800""",77,1
1237,Karura,"""123","000""",36,0
1238,Embakasi North,"""22","000""",103,1
1239,Githurai,"""42","400""",79,1
1240,Kariobangi South,"""14","000""",81,0
1241,Harambee,"""43","600""",56,1
1242,Viwandani,"""45","800""",40,0
1243,Lindi Makina,"""43","600""",105,1
1244,Laini saba,"""18","000""",42,0
1245,Embakasi Central,"""44","200""",89,0
1246,South C,"""43","000""",41,0
1247,Hospital,"""11","000""",103,1
1248,Dandora Area III,"""19","000""",62,0
1249,Ngando,"""17","000""",50,0
1250,Kiamaiko,"""46","000""",61,1
1251,Mountain View,"""19","000""",67,1
1252,Makongeni,"""20","000""",107,1
1253,Dandora Area I,"""42","500""",63,1
1254,Korogocho,"""10","000""",189,1
1255,Kileleshwa,"""41","500""",87,0
1256,Upper Savannah,"""43","600""",88,0
1257,Nairobi West,"""43","000""",64,0
1258,Harambee,"""48","997""",82,0
1259,Syokimau,"""41","700""",65,0
1260,Kilimani,"""82","972""",49,1
1261,Laini saba,"""48","997""",97,1
1262,Utalii,"""13","000""",110,1
1263,Umoja II,"""82","972""",101,1
1264,Kamukunji,"""43","200""",92,1
1265,Dandora Area III,"""18","000""",83,0
1266,Baba Dogo,"""17","000""",49,0
1267,Laini saba,"""45","000""",106,1
1268,Mowlem,"""109","890""",117,1
1269,Nyayo Highrise,"""26","000""",54,0
1270,Matopeni/Spring Valley,"""19","000""",41,0
1271,Embakasi North,"""45","400""",39,0
1272,Gatina,"""44","918""",39,0
1273,California,"""41","600""",60,1
1274,Nyayo Highrise,"""45","600""",95,0
1275,Embakasi East,"""22","000""",94,0
1276,Nairobi Central,"""46","600""",72,0
1277,Westlands,"""42","600""",49,0
1278,Mathare South,"""41","800""",46,1
1279,Sarangombe,"""46","174""",81,1
1280,Embakasi North,"""26","000""",85,0
1281,Landimawe,"""45","600""",52,1
1282,Mihango,"""48","100""",58,0
1283,Dandora Area IV,"""12","000""",86,0
1284,Laini saba,"""43","800""",61,1
1285,Ngara,"""14","000""",106,1
1286,Airbase,"""42","400""",113,1
1287,Utalii,"""36","037""",51,0
1288,Kayole North,"""14","000""",97,1
1289,Ngei,"""16","000""",42,0
1290,Embakasi South,"""23","000""",113,1
1291,Pipeline,"""123","000""",68,1
1292,Airbase,"""29","000""",111,1
1293,Baba Dogo,"""42","400""",29,0
1294,Pipeline,"""27","000""",90,1
1295,Embakasi North,"""43","800""",60,1
1296,Kariobangi North,"""41","500""",66,0
1297,Laini saba,"""36","037""",55,1
1298,Dandora Area I,"""46","800""",63,1
1299,Zimmerman,"""44","000""",45,0
1300,Upper Savannah,"""43","800""",61,1
1301,Pangani,"""48","000""",39,0
1302,Landimawe,"""44","000""",75,0
1303,Ngara,"""82","972""",51,0
1304,Kamukunji,"""39","377""",69,0
1305,Kibera,"""44","000""",40,0
1306,Ngei,"""45","000""",70,0
1307,Pumwani,"""48","100""",95,1
1308,Gatina,"""48","000""",76,0
1309,Karen,"""43","200""",61,0
1310,Kware,"""41","900""",53,0
1311,Mugumu-Ini,"""10","000""",58,0
1312,Dandora Area II,"""22","000""",53,0
1313,Kayole Central,"""27","000""",97,1
1314,Mabatini,"""24","000""",107,1
1315,Starehe,"""16","000""",79,1
1316,Kariobangi North,"""52","600""",90,1
1317,Kayole North,"""17","000""",55,1
1318,Matopeni/Spring Valley,"""41","800""",84,0
1319,Embakasi South,"""25","000""",35,0
1320,California,"""9","000""",98,1
1321,Kwa Njenga,"""36","037""",45,1
1322,Korogocho,"""45","600""",79,1
1323,Nairobi South,"""21","000""",70,1
1324,Kware,"""42","800""",90,1
1325,Clay City,"""19","000""",46,0
1326,Parklands/Highridge,"""46","800""",55,0
1327,Kasarani,"""45","800""",77,1
1328,Kangemi,"""22","000""",96,1
1329,Mugumu-Ini,"""48","000""",49,1
1330,Ruiru,"""17","000""",55,1
1331,Mwiki,"""48","000""",78,0
1332,Ruiru,"""12","000""",60,0
1333,Embakasi North,"""13","000""",62,1
1334,Baba Dogo,"""14","000""",81,0
1335,Ruiru,"""41","500""",81,1
1336,Kibera,"""44","600""",48,0
1337,Kahawa,"""17","000""",83,1
1338,Athi River,"""42","400""",72,1
1339,Kayole North,"""18","000""",101,1
1340,Kariobangi South,"""29","000""",55,0
1341,Korogocho,"""42","600""",109,0
1342,Mlango Kubwa,"""48","997""",51,0
1343,Utalii,"""18","000""",47,0
1344,Sarangombe,"""41","800""",66,1
1345,Mountain View,"""45","400""",74,0
1346,Mlango Kubwa,"""27","000""",107,0
1347,Mutu-ini,"""55","500""",52,0
1348,Embakasi Central,"""42","200""",88,1
1349,Karura,"""46","200""",65,0
1350,Embakasi Central,"""14","000""",54,0
1351,Makadara,"""41","700""",96,0
1352,Dandora Area II,"""44","200""",100,1
1353,Karen,"""9","000""",48,0
1354,Nyayo Highrise,"""45","400""",45,0
1355,Nyayo Highrise,"""12","000""",52,0
1356,Thika,"""15","000""",87,1
1357,Athi River,"""45","800""",108,1
1358,Starehe,"""55","500""",107,1
1359,Kabiro,"""17","000""",44,0
1360,Utalii,"""21","000""",54,0
1361,Mabatini,"""22","000""",117,1
1362,Lindi Makina,"""41","700""",89,0
1363,Kibera,"""45","400""",39,0
1364,Nairobi West,"""40","500""",113,0
1365,Karura,"""17","000""",46,1
1366,Korogocho,"""46","400""",66,1
1367,Woodley /Kenyatta Golf Course,"""36","037""",34,0
1368,Roysambu,"""36","037""",100,1
1369,Maringo/Hamza,"""36","037""",82,1
1370,Mountain View,"""10","000""",43,0
1371,Lindi Makina,"""9","000""",67,1
1372,Mathare South,"""44","200""",107,1
1373,Umoja II,"""62","600""",46,0
1374,Baba Dogo,"""51","890""",85,1
1375,Nairobi West,"""45","000""",89,1
1376,Kitisuru,"""43","600""",46,1
1377,Embakasi South,"""77","378""",48,0
1378,Kitengela,"""44","000""",105,1
1379,Ziwani/Kariokor,"""44","600""",64,1
1380,Roysambu,"""24","000""",93,1
1381,Kayole South,"""46","600""",110,0
1382,Kayole South,"""29","000""",105,1
1383,Ngando,"""44","400""",64,1
1384,Lower Savannah,"""10","000""",115,1
1385,Mathare North,"""42","400""",101,1
1386,Roysambu,"""22","000""",66,1
1387,Dandora Area IV,"""46","400""",38,0
1388,Thika,"""24","000""",92,0
1389,Mwiki,"""46","174""",115,0
1390,Kayole North,"""21","000""",30,0
1391,Kahawa West,"""77","378""",65,1
1392,Riruta,"""20","000""",95,0
1393,Kilimani,"""45","600""",97,1
1394,Kariobangi North,"""42","400""",83,0
1395,Sarangombe,"""22","000""",47,0
1396,Eastleigh South,"""18","000""",77,0
